Transaction Date,Post Date,Description,Category,Type,Amount
08/07/2024,08/09/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-157.43
08/07/2024,08/09/2024,Tigo Guatemala,Bills & Utilities,Sale,-25.71
08/06/2024,08/08/2024,CAFE BARISTA CB143 BARBER,Food & Drink,Sale,-19.38
08/07/2024,08/08/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-0.81
08/06/2024,08/08/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-1.24
08/06/2024,08/08/2024,PedidosYa RESTAURANTES,Shopping,Sale,-20.16
08/06/2024,08/08/2024,MEYKOS PLAZA MADERO CAES,Health & Wellness,Sale,-6.76
08/07/2024,08/07/2024,Payment Thank You-Mobile,,Payment,464.47
08/06/2024,08/07/2024,Kindle Svcs*RF6ZG87C0,Shopping,Sale,-9.99
08/06/2024,08/07/2024,PedidosYa PROPINAS,Shopping,Sale,-0.78
08/06/2024,08/07/2024,MOVES APP SUBSCRIPTION,Personal,Sale,-20.00
08/06/2024,08/07/2024,Kindle Svcs,Shopping,Return,9.99
08/05/2024,08/06/2024,NETFLIX.COM,Bills & Utilities,Sale,-7.66
08/04/2024,08/06/2024,Tigo Guatemala,Bills & Utilities,Sale,-82.56
08/03/2024,08/04/2024,Payment Thank You - Web,,Payment,1023.42
08/02/2024,08/04/2024,TNTWARE,Shopping,Sale,-30.00
08/03/2024,08/04/2024,GLOBAL SPORTS CORPORATION,Entertainment,Sale,-128.55
08/03/2024,08/04/2024,LA CAJA,Entertainment,Sale,-102.71
08/03/2024,08/04/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-10.66
08/01/2024,08/04/2024,SIENTO,Groceries,Sale,-57.49
08/02/2024,08/04/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-44.84
08/01/2024,08/02/2024,SPORTA GUATEMALA,Entertainment,Sale,-67.83
08/01/2024,08/02/2024,SPORTA GUATEMALA,Entertainment,Sale,-67.83
08/01/2024,08/02/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-8.96
07/30/2024,08/01/2024,PRICESMART FRAIJANES,Shopping,Sale,-302.57
07/30/2024,08/01/2024,PRICESMART FRAIJANES,Shopping,Sale,-60.96
07/30/2024,07/31/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-61.53
07/30/2024,07/31/2024,PROTON AG,Professional Services,Sale,-8.99
07/28/2024,07/29/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-3.69
07/27/2024,07/28/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-2.65
07/27/2024,07/28/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-3.49
07/25/2024,07/28/2024,SUPER LA TORRE MADERO -VN,Groceries,Sale,-105.54
07/24/2024,07/26/2024,PANADER A SN MART N PLZ M,Food & Drink,Sale,-18.34
07/24/2024,07/25/2024,MCDONALDS FRAIJANES,Food & Drink,Sale,-4.52
07/23/2024,07/24/2024,MAXI DESPENSA BARBERENA,Groceries,Sale,-23.99
07/22/2024,07/23/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-7.20
07/22/2024,07/23/2024,SUPERMERCADOS LA TORRE BA,Groceries,Sale,-50.66
07/21/2024,07/22/2024,Kindle Svcs*RJ8W37FP1,Shopping,Sale,-4.99
